,sentID.BTEC,split,lang,sent,sent_kuwaiti_GPT_Translated,sent_kuwaiti,Type (B/H),Translator Initials,sent_kuwaiti_punctuation_removed,sent_punctuation_removed,sent_kuwaiti_punctuation_removed_and_tashkeel,sent_punctuation_removed_and_tashkeel,sent_kuwaiti_punctuation_removed_and_tashkeel_and_normlaized,sent_punctuation_removed_and_tashkeel_and_normlaized
720,1167,corpus-6-test-corpus-26-train,MSA,أريد مزيلا لطلاء الأظافر .,أبي مزيل مناكير.,أبي مزيل صبغ اضافر.,H,H,أبي مزيل صبغ اضافر,أريد مزيلا لطلاء الأظافر ,أبي مزيل صبغ اضافر,أريد مزيلا لطلاء الأظافر ,ابي مزيل صبغ اضافر,اريد مزيلا لطلاء الاظافر 
721,1168,corpus-6-train,MSA,من فضلك اذهب فى الاتجاه المستقيم .,لو سمحت روح سيده.,لو سمحت روح سيده.,H,H,لو سمحت روح سيده,من فضلك اذهب فى الاتجاه المستقيم ,لو سمحت روح سيده,من فضلك اذهب فى الاتجاه المستقيم ,لو سمحت روح سيده,من فضلك اذهب فا الاتجاه المستقيم 
722,1169,corpus-6-train,MSA,هلا ساعدتنى فى إيجاد أمتعتى ؟,ممكن تساعدني ألاقي جناطي؟,ممكن تساعدني ألاقي جناطي؟,H,H,ممكن تساعدني ألاقي جناطي,هلا ساعدتنى فى إيجاد أمتعتى ,ممكن تساعدني ألاقي جناطي,هلا ساعدتنى فى إيجاد أمتعتى ,ممكن تساعدني الاقي جناطي,هلا ساعدتنا فا ايجاد امتعتا 
723,1171,corpus-6-train,MSA,أخمن أن ذاك الذى بالأسفل هو مركز التجارة العالمى ، أليس صحيحاً ؟,أتوقع إن اللي تحت هو مركز التجارة العالمي، مو جذي؟,أتوقع إن اللي تحت هو مركز التجارة العالمي، صح ؟,H,H,أتوقع إن اللي تحت هو مركز التجارة العالمي صح ,أخمن أن ذاك الذى بالأسفل هو مركز التجارة العالمى  أليس صحيحا ,أتوقع إن اللي تحت هو مركز التجارة العالمي صح ,أخمن أن ذاك الذى بالأسفل هو مركز التجارة العالمى  أليس صحيحا ,اتوقع ان اللي تحت هو مركز التجاره العالمي صح ,اخمن ان ذاك الذا بالاسفل هو مركز التجاره العالما  اليس صحيحا 
724,1172,corpus-6-train,MSA,أين متجر النماذج البلاستيكية ؟,وين محل النماذج البلاستيكية؟,وين محل النماذج البلاستيكية؟,H,H,وين محل النماذج البلاستيكية,أين متجر النماذج البلاستيكية ,وين محل النماذج البلاستيكية,أين متجر النماذج البلاستيكية ,وين محل النماذج البلاستيكيه,اين متجر النماذج البلاستيكيه 
725,1173,corpus-6-dev,MSA,لا أستطيع إخبارك .,ما أقدر أقول لك.,ما أقدر أقول لك.,H,H,ما أقدر أقول لك,لا أستطيع إخبارك ,ما أقدر أقول لك,لا أستطيع إخبارك ,ما اقدر اقول لك,لا استطيع اخبارك 
726,1174,corpus-6-train,MSA,هل لك أن تقترح دواء لآلام المغص ؟,تقدر تقترح لي دوا حق آلام المغص؟,تقدر تقترح لي دوا حق آلام المغص؟,H,H,تقدر تقترح لي دوا حق آلام المغص,هل لك أن تقترح دواء لآلام المغص ,تقدر تقترح لي دوا حق آلام المغص,هل لك أن تقترح دواء لآلام المغص ,تقدر تقترح لي دوا حق الام المغص,هل لك ان تقترح دواء لالام المغص 
727,1176,corpus-6-dev,MSA,أين الرصيف رقم خمسة ؟,وين الرصيف رقم خمسة؟,وين الرصيف رقم خمسة؟,H,H,وين الرصيف رقم خمسة,أين الرصيف رقم خمسة ,وين الرصيف رقم خمسة,أين الرصيف رقم خمسة ,وين الرصيف رقم خمسه,اين الرصيف رقم خمسه 
728,1177,corpus-6-train,MSA,"نعم ، يبدو أنه شئ يحتاج لمزيد من الفحص ، هلا تحريت ذلك يا سيد كينان , ثم ترفع تقريراً بالنتائج للسيد ناكاياما بأسرع وقت ممكن ؟",إي نعم، شكله شي يحتاج بعد فحص، تقدر تشوف الموضوع يا سيد كينان، وبعدين ترفع تقرير بالنتايج للسيد ناكاياما بأسرع وقت ممكن؟,إي نعم، شكله شي يحتاج فحص زياده، تقدر تشوف الموضوع يا اخ فيصل، وبعدين ترفع تقرير بالنتايج للسيد عدنان بأسرع وقت ممكن؟,H,H,إي نعم شكله شي يحتاج فحص زياده تقدر تشوف الموضوع يا اخ فيصل وبعدين ترفع تقرير بالنتايج للسيد عدنان بأسرع وقت ممكن,نعم  يبدو أنه شئ يحتاج لمزيد من الفحص  هلا تحريت ذلك يا سيد كينان  ثم ترفع تقريرا بالنتائج للسيد ناكاياما بأسرع وقت ممكن ,إي نعم شكله شي يحتاج فحص زياده تقدر تشوف الموضوع يا اخ فيصل وبعدين ترفع تقرير بالنتايج للسيد عدنان بأسرع وقت ممكن,نعم  يبدو أنه شئ يحتاج لمزيد من الفحص  هلا تحريت ذلك يا سيد كينان  ثم ترفع تقريرا بالنتائج للسيد ناكاياما بأسرع وقت ممكن ,اي نعم شكله شي يحتاج فحص زياده تقدر تشوف الموضوع يا اخ فيصل وبعدين ترفع تقرير بالنتايج للسيد عدنان باسرع وقت ممكن,نعم  يبدو انه شء يحتاج لمزيد من الفحص  هلا تحريت ذلك يا سيد كينان  ثم ترفع تقريرا بالنتاءج للسيد ناكاياما باسرع وقت ممكن 
730,1180,corpus-6-train,MSA,أعتقد أن هناك خطأ فى الفاتورة . هناك رسوم خدمة حجرة . لكنى لم أتلقى أى خدمة .,أظن في غلط بالفاتورة. في رسوم خدمة غرفة، بس أنا ما وصلتني أي خدمة.,أظن في غلط بالفاتورة. في رسوم خدمة غرفة، بس أنا ما وصلتني أي خدمة.,H,H,أظن في غلط بالفاتورة في رسوم خدمة غرفة بس أنا ما وصلتني أي خدمة,أعتقد أن هناك خطأ فى الفاتورة  هناك رسوم خدمة حجرة  لكنى لم أتلقى أى خدمة ,أظن في غلط بالفاتورة في رسوم خدمة غرفة بس أنا ما وصلتني أي خدمة,أعتقد أن هناك خطأ فى الفاتورة  هناك رسوم خدمة حجرة  لكنى لم أتلقى أى خدمة ,اظن في غلط بالفاتوره في رسوم خدمه غرفه بس انا ما وصلتني اي خدمه,اعتقد ان هناك خطا فا الفاتوره  هناك رسوم خدمه حجره  لكنا لم اتلقا اا خدمه 
731,1181,corpus-6-train,MSA,أريد أن أسافر بالطائرة فى أقرب وقت ممكن .,أبي أسافر بالطيارة بأقرب وقت ممكن.,أبي أسافر بالطيارة بأقرب وقت ممكن.,H,H,أبي أسافر بالطيارة بأقرب وقت ممكن,أريد أن أسافر بالطائرة فى أقرب وقت ممكن ,أبي أسافر بالطيارة بأقرب وقت ممكن,أريد أن أسافر بالطائرة فى أقرب وقت ممكن ,ابي اسافر بالطياره باقرب وقت ممكن,اريد ان اسافر بالطاءره فا اقرب وقت ممكن 
732,1182,corpus-6-train,MSA,هل المسافة طويلة إلى فندق هيلتون ؟,المسافة بعيدة لفندق هيلتون؟,المسافة بعيدة  حق فندق هيلتون؟,H,H,المسافة بعيدة  حق فندق هيلتون,هل المسافة طويلة إلى فندق هيلتون ,المسافة بعيدة  حق فندق هيلتون,هل المسافة طويلة إلى فندق هيلتون ,المسافه بعيده  حق فندق هيلتون,هل المسافه طويله الا فندق هيلتون 
733,1183,corpus-6-test-corpus-26-train,MSA,أريد بطارية .,أبي بطارية.,أبي بطارية.,H,H,أبي بطارية,أريد بطارية ,أبي بطارية,أريد بطارية ,ابي بطاريه,اريد بطاريه 
734,1184,corpus-6-train,MSA,هل تعرف مطعماً جيداً نستطيع أن نتناول فيه وجبات جيدة بسعر مناسب ؟,تعرف مطعم زين نقدر ناكل فيه أكل مضبوط بسعر مناسب؟,اتعرف مطعم زين نقدر ناكل فيه أكل مضبوط بسعر مناسب؟,H,H,اتعرف مطعم زين نقدر ناكل فيه أكل مضبوط بسعر مناسب,هل تعرف مطعما جيدا نستطيع أن نتناول فيه وجبات جيدة بسعر مناسب ,اتعرف مطعم زين نقدر ناكل فيه أكل مضبوط بسعر مناسب,هل تعرف مطعما جيدا نستطيع أن نتناول فيه وجبات جيدة بسعر مناسب ,اتعرف مطعم زين نقدر ناكل فيه اكل مضبوط بسعر مناسب,هل تعرف مطعما جيدا نستطيع ان نتناول فيه وجبات جيده بسعر مناسب 
735,1186,corpus-6-train,MSA,أريد أحمر شفاه .,أبي روج.,أبي حمره.,H,H,أبي حمره,أريد أحمر شفاه ,أبي حمره,أريد أحمر شفاه ,ابي حمره,اريد احمر شفاه 
736,1191,corpus-6-train,MSA,هذه خمسة و ثلاثون دولاراً .,هذي خمسة و ثلاثين دولار.,هذي خمسة و ثلاثين دولار.,H,H,هذي خمسة و ثلاثين دولار,هذه خمسة و ثلاثون دولارا ,هذي خمسة و ثلاثين دولار,هذه خمسة و ثلاثون دولارا ,هذي خمسه و ثلاثين دولار,هذه خمسه و ثلاثون دولارا 
737,1192,corpus-6-train,MSA,أود تغيير حجزى . هل لى أن أغير رحلة ب أأ خمسة صفر خمسة إلى الرحلة خمسة صفر خمسة ؟,أبي أغيّر حجزي. أقدر أبدّل الرحلة AA505 إلى الرحلة 505؟,أبي أغيّر حجزي. أقدر أبدّل الرحلة أأ خمسة صفر خمسة إلى الرحلة خمسة صفر خمسة؟,H,H,أبي أغير حجزي أقدر أبدل الرحلة أأ خمسة صفر خمسة إلى الرحلة خمسة صفر خمسة,أود تغيير حجزى  هل لى أن أغير رحلة ب أأ خمسة صفر خمسة إلى الرحلة خمسة صفر خمسة ,أبي أغير حجزي أقدر أبدل الرحلة أأ خمسة صفر خمسة إلى الرحلة خمسة صفر خمسة,أود تغيير حجزى  هل لى أن أغير رحلة ب أأ خمسة صفر خمسة إلى الرحلة خمسة صفر خمسة ,ابي اغير حجزي اقدر ابدل الرحله اا خمسه صفر خمسه الا الرحله خمسه صفر خمسه,اود تغيير حجزا  هل لا ان اغير رحله ب اا خمسه صفر خمسه الا الرحله خمسه صفر خمسه 
738,1193,corpus-6-test-corpus-26-test,MSA,هل هناك فرقة موسيقية أم دي جي ؟,في فرقة موسيقية ولا دي جي؟,في فرقة موسيقية ولا دي جي؟,H,H,في فرقة موسيقية ولا دي جي,هل هناك فرقة موسيقية أم دي جي ,في فرقة موسيقية ولا دي جي,هل هناك فرقة موسيقية أم دي جي ,في فرقه موسيقيه ولا دي جي,هل هناك فرقه موسيقيه ام دي جي 
739,1194,corpus-6-test-corpus-26-train,MSA,هل أستطيع تأجير أداة للتنفس أثناء السباحة ؟,أقدر أأجر جهاز للتنفس وأنا أسبح؟,أقدر أأجر جهاز للتنفس حق السباحه؟,H,H,أقدر أأجر جهاز للتنفس حق السباحه,هل أستطيع تأجير أداة للتنفس أثناء السباحة ,أقدر أأجر جهاز للتنفس حق السباحه,هل أستطيع تأجير أداة للتنفس أثناء السباحة ,اقدر ااجر جهاز للتنفس حق السباحه,هل استطيع تاجير اداه للتنفس اثناء السباحه 
740,1195,corpus-6-train,MSA,لقد خرج الفحم ، لكنى لم ألحظ أى تغيير .,طلع الفحم، بس ما لاحظت أي تغيير.,طلع الفحم، بس ما لاحظت أي تغيير.,H,H,طلع الفحم بس ما لاحظت أي تغيير,لقد خرج الفحم  لكنى لم ألحظ أى تغيير ,طلع الفحم بس ما لاحظت أي تغيير,لقد خرج الفحم  لكنى لم ألحظ أى تغيير ,طلع الفحم بس ما لاحظت اي تغيير,لقد خرج الفحم  لكنا لم الحظ اا تغيير 
741,1196,corpus-6-train,MSA,أستطيع أن أعطيك خصم ثلاثة بالمائة .,أقدر أعطيك خصم ثلاثة بالمية.,أقدر أعطيك خصم ثلاثة بالمية.,H,H,أقدر أعطيك خصم ثلاثة بالمية,أستطيع أن أعطيك خصم ثلاثة بالمائة ,أقدر أعطيك خصم ثلاثة بالمية,أستطيع أن أعطيك خصم ثلاثة بالمائة ,اقدر اعطيك خصم ثلاثه بالميه,استطيع ان اعطيك خصم ثلاثه بالماءه 
742,1197,corpus-6-train,MSA,لقد لحق هذا الضرر بالسيارة قبل أن أستأجرها .,هالضرر صار بالسيارة قبل لا أجرها.,هالضرر كان بالسيارة قبل لا أجرها.,H,H,هالضرر كان بالسيارة قبل لا أجرها,لقد لحق هذا الضرر بالسيارة قبل أن أستأجرها ,هالضرر كان بالسيارة قبل لا أجرها,لقد لحق هذا الضرر بالسيارة قبل أن أستأجرها ,هالضرر كان بالسياره قبل لا اجرها,لقد لحق هذا الضرر بالسياره قبل ان استاجرها 
743,1198,corpus-6-train,MSA,حسناً . أريد أن أرتديه فى حفل الزفاف يوم السبت .,زین، أبي ألبسه بحفلة العرس يوم السبت.,زین، أبي ألبسه بحفلة العرس يوم السبت.,H,H,زین أبي ألبسه بحفلة العرس يوم السبت,حسنا  أريد أن أرتديه فى حفل الزفاف يوم السبت ,زین أبي ألبسه بحفلة العرس يوم السبت,حسنا  أريد أن أرتديه فى حفل الزفاف يوم السبت ,زین ابي البسه بحفله العرس يوم السبت,حسنا  اريد ان ارتديه فا حفل الزفاف يوم السبت 
744,1199,corpus-6-test-corpus-26-dev,MSA,أود حجز غرفة لأربع ليالى ابتداء من الثانى و العشرين من ديسمبر .,أبي أحجز غرفة لأربع ليالي ابتداءً من 22 ديسمبر.,أبي أحجز غرفة لأربع ليالي ابتداءً من اثنين وعشرين ديسمبر.,H,H,أبي أحجز غرفة لأربع ليالي ابتداء من اثنين وعشرين ديسمبر,أود حجز غرفة لأربع ليالى ابتداء من الثانى و العشرين من ديسمبر ,أبي أحجز غرفة لأربع ليالي ابتداء من اثنين وعشرين ديسمبر,أود حجز غرفة لأربع ليالى ابتداء من الثانى و العشرين من ديسمبر ,ابي احجز غرفه لاربع ليالي ابتداء من اثنين وعشرين ديسمبر,اود حجز غرفه لاربع ليالا ابتداء من الثانا و العشرين من ديسمبر 
745,1201,corpus-6-train,MSA,لا ، نريد كل فاتورة على حدة من فضلك . ليدفع كل عن نفسه .,لا، نبي كل فاتورة بروحها لو سمحت. كل واحد يدفع عن نفسه.,لا، نبي كل فاتورة بروحها لو سمحت. كل واحد يدفع عن نفسه.,H,H,لا نبي كل فاتورة بروحها لو سمحت كل واحد يدفع عن نفسه,لا  نريد كل فاتورة على حدة من فضلك  ليدفع كل عن نفسه ,لا نبي كل فاتورة بروحها لو سمحت كل واحد يدفع عن نفسه,لا  نريد كل فاتورة على حدة من فضلك  ليدفع كل عن نفسه ,لا نبي كل فاتوره بروحها لو سمحت كل واحد يدفع عن نفسه,لا  نريد كل فاتوره علا حده من فضلك  ليدفع كل عن نفسه 
746,1202,corpus-6-dev,MSA,أريد دليلاً باللغة اليابانية .,أبي دليل باللغة اليابانية.,أبي دليل باللغة اليابانية.,H,H,أبي دليل باللغة اليابانية,أريد دليلا باللغة اليابانية ,أبي دليل باللغة اليابانية,أريد دليلا باللغة اليابانية ,ابي دليل باللغه اليابانيه,اريد دليلا باللغه اليابانيه 
747,1205,corpus-6-train,MSA,معذرة . أنا غريب هنا . هل لى أن أسأل الرجل لك إذا أحببت ؟ لحظة واحدة من فضلك .,آسف. أنا مو من هني. تبي أسأل الريال لك إذا تبي؟ لحظة وحدة لو سمحت.,آسف. أنا مو من هني. اذا تبي أسأل الريال لك؟ لحظة وحدة لو سمحت.,H,H,آسف أنا مو من هني اذا تبي أسأل الريال لك لحظة وحدة لو سمحت,معذرة  أنا غريب هنا  هل لى أن أسأل الرجل لك إذا أحببت  لحظة واحدة من فضلك ,آسف أنا مو من هني اذا تبي أسأل الريال لك لحظة وحدة لو سمحت,معذرة  أنا غريب هنا  هل لى أن أسأل الرجل لك إذا أحببت  لحظة واحدة من فضلك ,اسف انا مو من هني اذا تبي اسال الريال لك لحظه وحده لو سمحت,معذره  انا غريب هنا  هل لا ان اسال الرجل لك اذا احببت  لحظه واحده من فضلك 
748,1208,corpus-6-train,MSA,هل أستطيع اللحاق بالأوتوبيس الذى يذهب إلى فندق هيلتون ؟,أقدر ألحق الباص اللي يروح لفندق هيلتون؟,أقدر ألحق الباص اللي يروح لفندق هيلتون؟,H,H,أقدر ألحق الباص اللي يروح لفندق هيلتون,هل أستطيع اللحاق بالأوتوبيس الذى يذهب إلى فندق هيلتون ,أقدر ألحق الباص اللي يروح لفندق هيلتون,هل أستطيع اللحاق بالأوتوبيس الذى يذهب إلى فندق هيلتون ,اقدر الحق الباص اللي يروح لفندق هيلتون,هل استطيع اللحاق بالاوتوبيس الذا يذهب الا فندق هيلتون 
749,1210,corpus-6-train,MSA,"هل هناك أى رحلة لـ "" تيرول "" فى غضون ثلاثة أو أربعة أيام ؟","فيه أي رحلة لـ ""تيرول"" خلال ثلاثة أو أربعة أيام؟","فيه أي رحلة لـ ""الخفجي"" خلال ثلاثة أو أربعة أيام؟",H,H,فيه أي رحلة لـ الخفجي خلال ثلاثة أو أربعة أيام,هل هناك أى رحلة لـ  تيرول  فى غضون ثلاثة أو أربعة أيام ,فيه أي رحلة ل الخفجي خلال ثلاثة أو أربعة أيام,هل هناك أى رحلة ل  تيرول  فى غضون ثلاثة أو أربعة أيام ,فيه اي رحله ل الخفجي خلال ثلاثه او اربعه ايام,هل هناك اا رحله ل  تيرول  فا غضون ثلاثه او اربعه ايام 
750,1211,corpus-6-train,MSA,أشعر بتحسن الآن .,أحس إني أحسن الحين.,أحس إني أحسن الحين.,H,H,أحس إني أحسن الحين,أشعر بتحسن الآن ,أحس إني أحسن الحين,أشعر بتحسن الآن ,احس اني احسن الحين,اشعر بتحسن الان 
751,1212,corpus-6-test-corpus-26-train,MSA,هل هذه الحقيبة مناسبة لكل حالات الطقس ؟,هل هالحقيبة تناسب كل حالات الجو؟,هل هالجنطة تناسب كل حالات الجو؟,H,H,هل هالجنطة تناسب كل حالات الجو,هل هذه الحقيبة مناسبة لكل حالات الطقس ,هل هالجنطة تناسب كل حالات الجو,هل هذه الحقيبة مناسبة لكل حالات الطقس ,هل هالجنطه تناسب كل حالات الجو,هل هذه الحقيبه مناسبه لكل حالات الطقس 
752,1213,corpus-6-test-corpus-26-train,MSA,أريد كعكة محلاة من فضلك .,أبي كيكة حلوة لو سمحت.,أبي كيكة حلوة لو سمحت.,H,H,أبي كيكة حلوة لو سمحت,أريد كعكة محلاة من فضلك ,أبي كيكة حلوة لو سمحت,أريد كعكة محلاة من فضلك ,ابي كيكه حلوه لو سمحت,اريد كعكه محلاه من فضلك 
753,1215,corpus-6-train,MSA,آسف ، و لكننا سنتأخر ثلاثين دقيقة .,آسف، بس بنأخر ثلاثين دقيقة.,آسف، بس بنتأخر ثلاثين دقيقة.,H,H,آسف بس بنتأخر ثلاثين دقيقة,آسف  و لكننا سنتأخر ثلاثين دقيقة ,آسف بس بنتأخر ثلاثين دقيقة,آسف  و لكننا سنتأخر ثلاثين دقيقة ,اسف بس بنتاخر ثلاثين دقيقه,اسف  و لكننا سنتاخر ثلاثين دقيقه 
754,1216,corpus-6-train,MSA,هل لك أن تغير هذه العملة الورقية إلى نقود معدنية ؟,ممكن تبدل هالورقة بنقود معدنية؟,ممكن تبدل هالورقة بخرده؟,H,H,ممكن تبدل هالورقة بخرده,هل لك أن تغير هذه العملة الورقية إلى نقود معدنية ,ممكن تبدل هالورقة بخرده,هل لك أن تغير هذه العملة الورقية إلى نقود معدنية ,ممكن تبدل هالورقه بخرده,هل لك ان تغير هذه العمله الورقيه الا نقود معدنيه 
755,1217,corpus-6-train,MSA,غرفتك سيدى .,غرفتك يا معلم.,غرفتك طال عمرك.,H,H,غرفتك طال عمرك,غرفتك سيدى ,غرفتك طال عمرك,غرفتك سيدى ,غرفتك طال عمرك,غرفتك سيدا 
756,1218,corpus-6-test-corpus-26-train,MSA,أريد تأجير سلاح آلى لمدة يومين .,أبي أجر رشاش ليومين.,أبي أاجر رشاش ليومين.,H,H,أبي أاجر رشاش ليومين,أريد تأجير سلاح آلى لمدة يومين ,أبي أاجر رشاش ليومين,أريد تأجير سلاح آلى لمدة يومين ,ابي ااجر رشاش ليومين,اريد تاجير سلاح الا لمده يومين 
757,1220,corpus-6-train,MSA,من فضلك أوقف كل التعاملات على هذه البطاقة .,لو سمحت وقف كل التعاملات على هالبطاقة.,لو سمحت وقف كل المعاملات على هالبطاقة.,H,H,لو سمحت وقف كل المعاملات على هالبطاقة,من فضلك أوقف كل التعاملات على هذه البطاقة ,لو سمحت وقف كل المعاملات على هالبطاقة,من فضلك أوقف كل التعاملات على هذه البطاقة ,لو سمحت وقف كل المعاملات علا هالبطاقه,من فضلك اوقف كل التعاملات علا هذه البطاقه 
758,1221,corpus-6-train,MSA,هل سأحصل على خصم إذا أنا مكثت بفندقكم لمدة شهر ؟,هل بعطوني خصم لو قعدت بفندقكم شهر؟,راح تعطوني خصم لي قعدت بفندقكم شهر؟,H,H,راح تعطوني خصم لي قعدت بفندقكم شهر,هل سأحصل على خصم إذا أنا مكثت بفندقكم لمدة شهر ,راح تعطوني خصم لي قعدت بفندقكم شهر,هل سأحصل على خصم إذا أنا مكثت بفندقكم لمدة شهر ,راح تعطوني خصم لي قعدت بفندقكم شهر,هل ساحصل علا خصم اذا انا مكثت بفندقكم لمده شهر 
759,1222,corpus-6-train,MSA,هل أنت هنا للعمل أم للبحث ؟,إنت هني حق الشغل ولا عشان تبحث؟,إنت هني حق الشغل ولا عشان تبحث؟,H,H,إنت هني حق الشغل ولا عشان تبحث,هل أنت هنا للعمل أم للبحث ,إنت هني حق الشغل ولا عشان تبحث,هل أنت هنا للعمل أم للبحث ,انت هني حق الشغل ولا عشان تبحث,هل انت هنا للعمل ام للبحث 
760,1223,corpus-6-dev,MSA,هل فرغت من عشائك ؟,خلصت عشا؟,خلصت العشا؟,H,H,خلصت العشا,هل فرغت من عشائك ,خلصت العشا,هل فرغت من عشائك ,خلصت العشا,هل فرغت من عشاءك 
761,1224,corpus-6-test-corpus-26-train,MSA,لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسيسكو .,ما لحقت على رحلة رقم عشرين اللي رايحة سان فرانسيسكو.,ما لحقت على رحلة رقم عشرين اللي رايحة حق سان فرانسيسكو.,H,H,ما لحقت على رحلة رقم عشرين اللي رايحة حق سان فرانسيسكو,لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسيسكو ,ما لحقت على رحلة رقم عشرين اللي رايحة حق سان فرانسيسكو,لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسيسكو ,ما لحقت علا رحله رقم عشرين اللي رايحه حق سان فرانسيسكو,لم ادرك الرحله رقم عشرون المتجهه الا سان فرانسيسكو 
762,1225,corpus-6-dev,MSA,إن جودة هذه أفضل .,جودة هذي أحسن.,جودة هذي أحسن.,H,H,جودة هذي أحسن,إن جودة هذه أفضل ,جودة هذي أحسن,إن جودة هذه أفضل ,جوده هذي احسن,ان جوده هذه افضل 
763,1227,corpus-6-train,MSA,بالتأكيد سيدى . أبيض أم ملون ؟,أكيد طال عمرك. أبيض ولا ملوّن؟,أكيد طال عمرك. أبيض ولا ملوّن؟,H,H,أكيد طال عمرك أبيض ولا ملون,بالتأكيد سيدى  أبيض أم ملون ,أكيد طال عمرك أبيض ولا ملون,بالتأكيد سيدى  أبيض أم ملون ,اكيد طال عمرك ابيض ولا ملون,بالتاكيد سيدا  ابيض ام ملون 
764,1230,corpus-6-dev,MSA,لقد رهنت جنيهان .,رهنت دينارين.,رهنت دينارين.,H,H,رهنت دينارين,لقد رهنت جنيهان ,رهنت دينارين,لقد رهنت جنيهان ,رهنت دينارين,لقد رهنت جنيهان 
765,1231,corpus-6-dev,MSA,هل لديك جولة تشمل زيارة لجسر البوابة الذهبية ؟,عندكم جولة تشمل زيارة لجسر البوابة الذهبية؟,عندكم جولة تشمل زيارة حق جسر جابر؟,H,H,عندكم جولة تشمل زيارة حق جسر جابر,هل لديك جولة تشمل زيارة لجسر البوابة الذهبية ,عندكم جولة تشمل زيارة حق جسر جابر,هل لديك جولة تشمل زيارة لجسر البوابة الذهبية ,عندكم جوله تشمل زياره حق جسر جابر,هل لديك جوله تشمل زياره لجسر البوابه الذهبيه 
766,1233,corpus-6-train,MSA,لا أستطيع جعلها لرحلتى التكميلية .,ما أقدر ألحق على رحلتي التكميلية.,ما أقدر ألحق على رحلتي التكميلية.,H,H,ما أقدر ألحق على رحلتي التكميلية,لا أستطيع جعلها لرحلتى التكميلية ,ما أقدر ألحق على رحلتي التكميلية,لا أستطيع جعلها لرحلتى التكميلية ,ما اقدر الحق علا رحلتي التكميليه,لا استطيع جعلها لرحلتا التكميليه 
767,1234,corpus-6-test-corpus-26-train,MSA,كم سأدفع للوصول إلى المطار ؟,كم بدفع عشان أوصل للمطار؟,جم راح ادفع عشان أوصل للمطار؟,H,H,جم راح ادفع عشان أوصل للمطار,كم سأدفع للوصول إلى المطار ,جم راح ادفع عشان أوصل للمطار,كم سأدفع للوصول إلى المطار ,جم راح ادفع عشان اوصل للمطار,كم سادفع للوصول الا المطار 
768,1235,corpus-6-test-corpus-26-train,MSA,هذا جيد . متى هو ؟,هذا زين. متى بيكون؟,هذا زين. متى بيكون؟,H,H,هذا زين متى بيكون,هذا جيد  متى هو ,هذا زين متى بيكون,هذا جيد  متى هو ,هذا زين متا بيكون,هذا جيد  متا هو 
769,1240,corpus-6-train,MSA,من أين أستقل الأوتوبيس كى أذهب إلى المتحف ؟,من وين أركب الباص عشان أروح المتحف؟,من وين أركب الباص عشان أروح المتحف؟,H,H,من وين أركب الباص عشان أروح المتحف,من أين أستقل الأوتوبيس كى أذهب إلى المتحف ,من وين أركب الباص عشان أروح المتحف,من أين أستقل الأوتوبيس كى أذهب إلى المتحف ,من وين اركب الباص عشان اروح المتحف,من اين استقل الاوتوبيس كا اذهب الا المتحف 
770,1241,corpus-6-train,MSA,من هو مؤلف المسرحية ؟,منو كاتب المسرحية؟,منو كاتب المسرحية؟,H,H,منو كاتب المسرحية,من هو مؤلف المسرحية ,منو كاتب المسرحية,من هو مؤلف المسرحية ,منو كاتب المسرحيه,من هو مءلف المسرحيه 
771,1243,corpus-6-train,MSA,صندوق ودائع من فضلك .,صندوق أمانات لو سمحت.,صندوق أمانات لو سمحت.,H,H,صندوق أمانات لو سمحت,صندوق ودائع من فضلك ,صندوق أمانات لو سمحت,صندوق ودائع من فضلك ,صندوق امانات لو سمحت,صندوق وداءع من فضلك 
772,1245,corpus-6-train,MSA,سأبقى هنا لمدة شهر فقط .,باقي هني شهر بس.,راح اظل اهني شهر بس.,H,H,راح اظل اهني شهر بس,سأبقى هنا لمدة شهر فقط ,راح اظل اهني شهر بس,سأبقى هنا لمدة شهر فقط ,راح اظل اهني شهر بس,سابقا هنا لمده شهر فقط 
773,1246,corpus-6-train,MSA,متى تبدأ الجولة ؟,متى تبلش الجولة؟,متى تبلش الجولة؟,H,H,متى تبلش الجولة,متى تبدأ الجولة ,متى تبلش الجولة,متى تبدأ الجولة ,متا تبلش الجوله,متا تبدا الجوله 
774,1247,corpus-6-train,MSA,متى تبدأ الحفلة الصباحية ؟,متى تبتدي الحفلة الصباحية؟,متى تبتدي حفلة الصبح؟,H,H,متى تبتدي حفلة الصبح,متى تبدأ الحفلة الصباحية ,متى تبتدي حفلة الصبح,متى تبدأ الحفلة الصباحية ,متا تبتدي حفله الصبح,متا تبدا الحفله الصباحيه 
775,1248,corpus-6-train,MSA,أنا من روسيا .,أنا من روسيا.,أنا من كيفان.,H,H,أنا من كيفان,أنا من روسيا ,أنا من كيفان,أنا من روسيا ,انا من كيفان,انا من روسيا 
